Detailed Statistics Arrivals  
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","02/21/2024","0215","N618JB","BOS","13:48","13:23","269","251","-25","13:10","13","0","0","0","0","0"
"B6","02/22/2024","0215","N3149J","BOS","13:48","14:04","269","279","16","13:44","20","6","0","10","0","0"
"B6","02/23/2024","0215","N3142J","BOS","13:48","13:39","269","260","-9","13:23","16","0","0","0","0","0"
"B6","02/24/2024","0215","N3112J","BOS","13:48","13:16","269","238","-32","13:05","11","0","0","0","0","0"
"B6","02/25/2024","0215","N3157J","BOS","13:48","13:22","269","248","-26","13:10","12","0","0","0","0","0"
"B6","02/26/2024","0215","N3112J","BOS","13:48","13:57","269","271","9","13:45","12","0","0","0","0","0"
"B6","02/27/2024","0215","N3125J","BOS","13:48","13:50","269","272","2","13:36","14","0","0","0","0","0"
"B6","02/28/2024","0215","N629JB","BOS","13:48","17:14","269","279","206","16:56","18","54","0","10","0","142"
"B6","02/29/2024","0215","N3044J","BOS","13:48","15:15","269","269","87","15:05","10","0","87","0","0","0"
"B6","03/01/2024","0215","N3157J","BOS","18:18","18:05","278","266","-13","17:54","11","0","0","0","0","0"
"B6","03/02/2024","0215","N3077J","BOS","18:10","18:01","270","254","-9","17:46","15","0","0","0","0","0"
"B6","03/03/2024","0215","N3145J","BOS","18:18","17:53","278","239","-25","17:40","13","0","0","0","0","0"
"B6","03/04/2024","0215","N3118J","BOS","18:18","17:53","278","246","-25","17:41","12","0","0","0","0","0"
"B6","03/05/2024","0215","N3077J","BOS","18:18","18:22","278","290","4","18:03","19","0","0","0","0","0"
"B6","03/06/2024","0215","N3152J","BOS","18:20","18:43","278","299","23","18:00","43","2","0","21","0","0"
"B6","03/07/2024","0215","N3152J","BOS","18:20","18:49","278","293","29","18:26","23","14","0","15","0","0"
"B6","03/08/2024","0215","N3152J","BOS","18:20","18:45","278","276","25","18:32","13","25","0","0","0","0"
"B6","03/09/2024","0215","N3104J","BOS","18:20","19:15","278","273","55","18:53","22","40","0","0","0","15"
"B6","03/10/2024","0215","N3104J","BOS","18:20","18:27","278","261","7","18:08","19","0","0","0","0","0"
"B6","03/11/2024","0215","N3139J","BOS","18:20","18:01","278","255","-19","17:47","14","0","0","0","0","0"
"B6","03/12/2024","0215","N3139J","BOS","18:20","18:39","278","257","19","18:28","11","19","0","0","0","0"
"B6","03/13/2024","0215","N3125J","BOS","18:20","17:58","278","260","-22","17:43","15","0","0","0","0","0"
"B6","03/14/2024","0215","N3142J","BOS","18:20","21:50","278","0","0","21:34","16","0","0","0","0","0"
"B6","03/15/2024","0215","N3125J","BOS","18:20","21:12","278","286","172","20:55","17","120","0","8","0","44"
"B6","03/16/2024","0215","N3139J","BOS","18:20","18:35","278","284","15","18:16","19","9","0","6","0","0"
"B6","03/17/2024","0215","N3138J","BOS","18:20","19:23","278","307","63","18:59","24","34","0","29","0","0"
"B6","03/18/2024","0215","N3102J","BOS","18:20","18:33","278","253","13","18:23","10","0","0","0","0","0"
"B6","03/19/2024","0215","N3142J","BOS","18:20","17:49","278","250","-31","17:37","12","0","0","0","0","0"
"B6","03/20/2024","0215","N3139J","BOS","18:20","18:46","278","280","26","18:31","15","18","0","2","0","6"
"B6","03/21/2024","0215","N3115J","BOS","18:20","18:29","278","277","9","18:17","12","0","0","0","0","0"
"B6","03/22/2024","0215","N3115J","BOS","18:20","18:29","278","263","9","18:11","18","0","0","0","0","0"
"B6","03/23/2024","0215","N3102J","BOS","18:20","18:15","278","264","-5","18:00","15","0","0","0","0","0"
"B6","03/24/2024","0215","N3149J","BOS","18:20","22:32","278","266","252","22:14","18","112","0","0","0","140"
"B6","03/25/2024","0215","N3115J","BOS","18:20","19:30","278","290","70","19:16","14","45","0","12","0","13"
"B6","03/26/2024","0215","N3085J","BOS","18:20","18:41","278","307","21","17:59","42","0","0","21","0","0"
"B6","03/27/2024","0215","N3085J","BOS","18:20","19:29","278","266","69","19:13","16","37","0","0","0","32"
"B6","03/28/2024","0215","N3157J","BOS","18:20","18:25","278","260","5","18:15","10","0","0","0","0","0"
"B6","03/29/2024","0215","N3157J","BOS","18:20","17:52","278","255","-28","17:40","12","0","0","0","0","0"
"B6","03/30/2024","0215","N3085J","BOS","18:20","17:58","278","265","-22","17:44","14","0","0","0","0","0"
"B6","03/31/2024","0215","N3023J","BOS","18:23","18:28","268","268","5","18:15","13","0","0","0","0","0"
"B6","04/01/2024","0215","N3157J","BOS","18:23","18:37","268","285","14","18:24","13","0","0","0","0","0"
"B6","04/02/2024","0215","N3156J","BOS","18:23","18:56","268","301","33","18:39","17","0","0","33","0","0"
"B6","04/03/2024","0215","N3162J","BOS","18:23","18:11","268","263","-12","17:56","15","0","0","0","0","0"
